"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
-0.580000	2.821941	-4.607979	-4.576145	6.394018	6.312795
-0.570000	2.776179	-4.544446	-4.513017	6.312713	6.232475
-0.560000	2.731049	-4.481722	-4.450692	6.232394	6.153128
-0.550000	2.686542	-4.419795	-4.389161	6.153048	6.074744
-0.540000	2.642651	-4.358657	-4.328414	6.074664	5.997309
-0.530000	2.599366	-4.298299	-4.268440	5.997231	5.920815
-0.520000	2.556682	-4.238710	-4.209232	5.920737	5.845249
-0.510000	2.514590	-4.179881	-4.150780	5.845172	5.770600
-0.500000	2.473082	-4.121803	-4.093074	5.770524	5.696858
-0.490000	2.432151	-4.064467	-4.036105	5.696784	5.624013
-0.480000	2.391790	-4.007865	-3.979865	5.623939	5.552053
-0.470000	2.351991	-3.951986	-3.924345	5.551980	5.480968
-0.460000	2.312748	-3.896822	-3.869535	5.480896	5.410748
-0.450000	2.274053	-3.842365	-3.815427	5.410677	5.341383
-0.440000	2.235898	-3.788606	-3.762014	5.341313	5.272863
-0.430000	2.198278	-3.735536	-3.709285	5.272793	5.205177
-0.420000	2.161185	-3.683147	-3.657233	5.205109	5.138317
-0.410000	2.124613	-3.631431	-3.605850	5.138249	5.072271
-0.400000	2.088555	-3.580379	-3.555127	5.072204	5.007031
-0.390000	2.053003	-3.529984	-3.505057	5.006965	4.942587
-0.380000	2.017953	-3.480237	-3.455631	4.942522	4.878930
-0.370000	1.983396	-3.431131	-3.406842	4.878866	4.816051
-0.360000	1.949328	-3.382657	-3.358681	4.815987	4.753940
-0.350000	1.915741	-3.334809	-3.311142	4.753876	4.692587
-0.340000	1.882630	-3.287577	-3.264216	4.692525	4.631986
-0.330000	1.849988	-3.240956	-3.217896	4.631924	4.572125
-0.320000	1.817809	-3.194936	-3.172175	4.572064	4.512997
-0.310000	1.786087	-3.149512	-3.127045	4.512937	4.454594
-0.300000	1.754816	-3.104675	-3.082499	4.454534	4.396905
-0.290000	1.723991	-3.060419	-3.038530	4.396846	4.339924
-0.280000	1.693606	-3.016736	-2.995131	4.339866	4.283641
-0.270000	1.663655	-2.973619	-2.952294	4.283584	4.228049
-0.260000	1.634132	-2.931062	-2.910014	4.227992	4.173139
-0.250000	1.605032	-2.889057	-2.868282	4.173083	4.118903
-0.240000	1.576349	-2.847598	-2.827093	4.118847	4.065333
-0.230000	1.548078	-2.806678	-2.786440	4.065278	4.012421
-0.220000	1.520214	-2.766290	-2.746316	4.012367	3.960160
-0.210000	1.492750	-2.726429	-2.706714	3.960107	3.908542
-0.200000	1.465683	-2.687086	-2.667629	3.908489	3.857559
-0.190000	1.439007	-2.648257	-2.629053	3.857506	3.807203
-0.180000	1.412716	-2.609934	-2.590981	3.807151	3.757467
-0.170000	1.386807	-2.572112	-2.553407	3.757416	3.708345
-0.160000	1.361273	-2.534783	-2.516323	3.708294	3.659828
-0.150000	1.336109	-2.497944	-2.479725	3.659778	3.611909
-0.140000	1.311312	-2.461586	-2.443606	3.611860	3.564582
-0.130000	1.286876	-2.425704	-2.407960	3.564533	3.517838
-0.120000	1.262796	-2.390293	-2.372782	3.517790	3.471672
-0.110000	1.239069	-2.355347	-2.338065	3.471625	3.426077
-0.100000	1.215688	-2.320859	-2.303804	3.426030	3.381045
-0.090000	1.192650	-2.286824	-2.269994	3.380999	3.336570
-0.080000	1.169950	-2.253237	-2.236628	3.336524	3.292645
-0.070000	1.147584	-2.220092	-2.203701	3.292600	3.249265
-0.060000	1.125547	-2.187383	-2.171209	3.249220	3.206421
-0.050000	1.103835	-2.155106	-2.139145	3.206377	3.164108
-0.040000	1.082443	-2.123254	-2.107504	3.164065	3.122320
-0.030000	1.061368	-2.091823	-2.076280	3.122277	3.081051
